system   I             system.c:245  al_install_system                [   0.00048] Allegro version: 5.1.12 (WIP)
display  D   display_settings.c:388  _al_score_display_settings       [   0.08511] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08514] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08517] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08520] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08524] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08527] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08530] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08533] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08537] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08540] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08543] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08547] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08550] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08553] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08557] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08560] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08563] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08566] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08570] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08573] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08576] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08579] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08583] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08586] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08590] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08593] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08596] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08600] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08604] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08607] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08610] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08614] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08617] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08620] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08624] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08627] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08631] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08634] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08638] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08641] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.08645] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.08648] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08652] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08654] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08658] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08661] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08665] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08668] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08672] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08675] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08678] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08681] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08685] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08688] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08692] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08695] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08699] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08702] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08705] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08708] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08712] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08715] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08718] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08721] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08725] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08728] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08731] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08734] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08738] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08741] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08744] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08746] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08750] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08753] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08757] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08760] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08764] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08766] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08770] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08773] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08777] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08780] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08783] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08786] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08790] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08792] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08796] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08799] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08802] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08805] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08809] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08812] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08815] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08818] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08822] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08824] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08828] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08831] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08834] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08836] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08838] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08840] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08842] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08843] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08846] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08847] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08849] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08851] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08853] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08855] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08857] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08858] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08860] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08862] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08864] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08866] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08868] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08869] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08871] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08873] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08875] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08877] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08879] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08881] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08883] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08885] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08887] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08888] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08890] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08892] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08894] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08896] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08898] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08899] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08902] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08903] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08905] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08907] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08909] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08911] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08913] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08914] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08916] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08918] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08920] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08922] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08924] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08925] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08928] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08929] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08931] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08933] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08935] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08937] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08939] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08941] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08943] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08944] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08947] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08948] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08950] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08952] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08954] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08956] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08958] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08959] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08961] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08963] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08965] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08967] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:517  _al_score_display_settings       [   0.08969] Score is : 769
display  D   display_settings.c:202  debug_display_settings           [   0.08970] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08972] Score is : 598
display  D   display_settings.c:202  debug_display_settings           [   0.08974] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08976] Score is : 593
display  D   display_settings.c:202  debug_display_settings           [   0.08978] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08980] Score is : 589
display  D   display_settings.c:202  debug_display_settings           [   0.08981] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08984] Score is : 587
display  D   display_settings.c:202  debug_display_settings           [   0.08985] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08987] Score is : 586
display  D   display_settings.c:202  debug_display_settings           [   0.08989] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08991] Score is : 585
display  D   display_settings.c:202  debug_display_settings           [   0.08993] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:517  _al_score_display_settings       [   0.08995] Score is : 584
display  D   display_settings.c:202  debug_display_settings           [   0.08996] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.08999] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09000] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09003] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09004] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09006] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09008] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09010] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09012] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09014] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09016] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09018] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09019] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09021] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09023] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09025] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09027] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09029] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09031] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09033] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09036] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09038] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09040] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09042] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09044] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09046] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09048] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09050] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09052] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09054] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09057] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09059] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09061] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09063] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09065] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09067] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09069] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09071] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09073] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09075] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09078] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09081] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09084] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09086] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09088] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09090] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09091] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09093] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09095] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09097] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09099] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09101] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09103] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09105] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09106] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09108] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09110] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:388  _al_score_display_settings       [   0.09112] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09114] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09116] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09118] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09125] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09127] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09129] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09131] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 5/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09133] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09135] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 6/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09137] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09139] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 7/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09141] Single Buffer requirement not met.
display  D   display_settings.c:202  debug_display_settings           [   0.09142] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 8/1
display  D   display_settings.c:388  _al_score_display_settings       [   0.09145] Single Buffer requirement not met.
